,0,1,label,cat
0,7.9294363853187555,-6.839926408526414,DFgc0.06_k0.60,unknown
1,-5.896480389508843,-1.7748222419332615,DFgc0.20_k4.00,unknown
2,-5.896480389508843,-1.774822241933264,DFgc0.07_k20.00,unknown
3,1.4644994976868944,-0.12893261455604313,DFgc0.08_k0.10,unknown
4,1.2334073145121136,-0.31573497247675303,DFgc0.17_k0.01,unknown
5,2.3359407751388357,2.936015591653387,DFgc0.10_k1.50,unknown
6,1.2973030614505268,-0.22466411716106152,DFgc0.15_k0.10,unknown
7,1.2334073145121136,-0.315734972476753,DFgc0.17_k0.20,unknown
8,1.3760541352614875,5.891902967475861,DFgc0.14_k4.00,unknown
9,0.5148946115357835,2.845134626933177,DFgc0.06_k8.00,unknown
10,3.2930658813684497,6.360032765036509,DFgc0.05_k4.50,unknown
11,-5.896480389508843,-1.7748222419332635,DFgc0.08_k10.00,unknown
12,4.243975500171379,-0.5804919229823177,DFgc0.12_k1.00,unknown
13,7.626911963712161,-6.9564067893651504,DFgc0.07_k0.50,unknown
14,1.370453180110665,6.103691986483455,DFgc0.11_k4.00,unknown
15,-5.896480389508843,-1.7748222419332635,DFgc0.25_k16.00,unknown
16,1.5981138495240033,1.8953353501800638,DFgc0.07_k9.00,unknown
17,-5.896480389508843,-1.7748222419332635,DFgc0.16_k20.00,unknown
18,6.378416326240985,-5.162145181409448,DFgc0.08_k0.80,unknown
19,1.7702628009740362,2.166940245987696,DFgc0.17_k1.50,unknown
20,-5.896480389508843,-1.7748222419332635,DFgc0.10_k9.00,unknown
21,1.3736707283705472,-0.18326821732383214,DFgc0.12_k0.30,unknown
22,7.223750057845084,-7.050511890609056,DFgc0.15_k0.50,unknown
23,-5.896480389508843,-1.7748222419332635,DFgc0.14_k20.00,unknown
24,0.6819752734859613,7.786599986822294,DFgc0.12_k3.00,unknown
25,1.699218370462341,-0.08342149209703095,DFgc0.06_k0.30,unknown
26,8.161822465431165,-6.761927034693948,DFgc0.05_k0.50,unknown
27,-5.896480389508843,-1.7748222419332635,DFgc0.12_k10.00,unknown
28,-5.896480389508843,-1.7748222419332635,DFgc0.11_k10.00,unknown
29,7.326404673060046,-7.004127493534262,DFgc0.10_k0.50,unknown
30,0.9164072507865224,5.808924431699525,DFgc0.10_k5.00,unknown
31,-5.896480389508843,-1.7748222419332635,DFgc0.11_k9.00,unknown
32,4.507422872478442,-3.392691118828562,DFgc0.12_k0.90,unknown
33,1.3482461247953959,-0.2233783515354079,DFgc0.12_k0.01,unknown
34,6.681226659824097,-6.774862103513874,DFgc0.12_k0.60,unknown
35,-5.896480389508843,-1.7748222419332635,DFgc0.05_k16.00,unknown
36,0.8718766636917497,3.398211104772339,DFgc0.12_k2.00,unknown
37,2.7312651253509457,8.124116562972029,DFgc0.06_k3.00,unknown
38,4.730775284860621,-0.9111927690366082,DFgc0.06_k0.90,unknown
